,pl_name,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum,T_ast,Seff_rg,Seff_mxg,d_rg,d_mxg
0,1RXS J160929.1-210524 b,18.647,1800.0,330.0,4060.0,,-1720.0,0.891006841232384,0.26391875208512,,
1,2MASS J01225093-2439505 b,11.209,1600.0,,3309.0,-1.83849,-2471.0,0.8698332857489387,0.2396755855094957,0.12913292507946486,0.24600452835702846
2,2MASS J12073346-3932539 b,15.69257298,1163.0,,,,,,,,
3,55 Cnc e,2.05155607,1894.63,0.01544,5242.0,,-538.0,0.976758223368684,0.31955517425007873,,
4,AU Mic b,4.210924,625.61,0.0664666667,3626.5,-1.00784,-2153.5,0.8766088980618068,0.24899814646492316,0.33471645455822907,0.6280322459167187
5,AU Mic c,2.85067355,445.9,0.1133,3639.33,-1.00784,-2140.67,0.8769368193465981,0.24940090542699322,0.33465386686075965,0.6275249345690442
6,BD+20 594 b,2.23,546.0,0.241,5766.0,-0.05552,-14.0,1.0367590448337978,0.3498662436851677,0.9213000262784318,1.5859481288562487
7,BD+60 1417 b,14.68376472,1303.0,1662.0,4993.0,0.35595,-787.0,0.9525711330816679,0.3061128575442623,1.5435698667968198,2.722915814295873
8,BD-14 3065 b,21.1506,1702.5,0.0656,6835.95,1.06,1055.9499999999998,1.1751558410709304,0.41128961253242596,3.1257358095767436,5.283553744166748
9,CFHTWIR-Oph 98 b,20.8487041,1800.0,200.0,2320.0,-2.85,-3460.0,0.8477194000847841,0.21464802818252002,0.04082008821706918,0.08112160756276018
10,COCONUTS-2 b,12.44196858,434.0,7506.0,3406.0,-1.732,-2374.0,0.871671942995404,0.24240100762329925,0.145822139644366,0.2765239739912548
11,CT Cha b,24.66,2600.0,440.0,,,,,,,
12,CoRoT-1 b,17.64908475,1920.75,0.02563,5950.0,,170.0,1.060058515965269,0.3608613420518075,,
13,CoRoT-10 b,9.60099818,585.99,0.10575,5058.33,,-721.6700000000001,0.9586132920544767,0.3095633499010407,,
14,CoRoT-11 b,17.33502553,1697.2,0.0437033333,6407.67,,627.6700000000001,1.120279586134724,0.3879296514606035,,
15,CoRoT-12 b,16.02435416,1390.57,0.0395866667,5675.0,0.07,-105.0,1.025590922340763,0.34446614594156294,1.0703182136747813,1.8468291766154254
16,CoRoT-13 b,12.16224287,1455.06,0.051,5945.0,,165.0,1.059414618655273,0.36056196750975045,,
17,CoRoT-14 b,11.815381,1944.0,0.026935,6035.0,,255.0,1.0710789507028933,0.36594899145138793,,
18,CoRoT-17 b,11.3587315,1618.0,0.0471,5740.0,,-40.0,1.033541463325184,0.34831974416192,,
19,CoRoT-18 b,14.14939844,1473.34,0.0289666667,5440.0,-0.17,-340.0,0.998115413008304,0.33074781395852,0.8230185406957281,1.4297216997515614
20,CoRoT-19 b,13.76397758,1700.03,0.0515,6090.0,0.544,310.0,1.0782742020342688,0.36923539309940745,1.8015046714951177,3.0785650747889393
21,CoRoT-2 b,16.40365142,1503.39,0.028445,5612.0,,-168.0,1.0180211341614425,0.34075188860273975,,
22,CoRoT-20 b,12.25698641,1015.33,0.0895,5880.0,0.17,100.0,1.05109431039,0.356671449275,1.1862580084588428,2.036412840376239
23,CoRoT-22 b,4.88,885.0,0.092,5939.0,,159.0,1.058642638553951,0.36020272474784887,,
24,CoRoT-23 b,12.49831,1685.0,0.048045,5900.0,,120.0,1.0536440572759038,0.35786811638592,,
25,CoRoT-24 b,3.7,1070.0,0.056,4950.0,,-830.0,0.9487156719924691,0.3038734552628075,,
26,CoRoT-24 c,5.0,850.0,0.098,4950.0,,-830.0,0.9487156719924691,0.3038734552628075,,
27,CoRoT-25 b,12.11,1330.0,0.0578,6040.0,,260.0,1.071731185121264,0.36624801653132,,
28,CoRoT-26 b,14.12,1600.0,0.0526,5590.0,,-190.0,1.0154111761844689,0.3394604323604075,,
29,CoRoT-27 b,11.287,1500.0,0.0476,5900.0,,120.0,1.0536440572759038,0.35786811638592,,
30,CoRoT-3 b,11.623733,1695.0,0.05783,6740.0,,960.0,1.163302211446784,0.40633423444992006,,
31,CoRoT-32 b,6.38913,938.0,0.071,5970.0,-0.1549,190.0,1.0626392461134688,0.3620588387960075,0.8116280991988691,1.3904661570081547
32,CoRoT-35 b,18.83108758,1747.0,0.0429,6390.0,,610.0,1.117943384233749,0.3869100934508075,,
33,CoRoT-36 b,15.80466279,1567.0,0.066,6730.0,,950.0,1.162047418668125,0.40580687660468756,,
34,CoRoT-4 b,13.25994531,1031.94,0.0906,6190.0,,410.0,1.091450217924629,0.37518598916420753,,
35,CoRoT-5 b,15.31705401,1383.39,0.04967,6100.0,0.18,320.0,1.0795869398896638,0.3698321008947201,1.1840531266218268,2.0230084542025586
36,CoRoT-6 b,13.1753325,1021.0,0.0855,6090.0,,310.0,1.0782742020342688,0.36923539309940745,,
37,CoRoT-7 b,1.722847,1833.0,0.016958,5254.5,,-525.5,0.9780531857905819,0.32024972030486837,,
38,CoRoT-8 b,7.4595895,896.0,0.06345,5080.0,-0.4,-700.0,0.9606660743900001,0.31072036047500007,0.6437448578834447,1.1319184632742039
39,CoRoT-9 b,11.7862635,416.5,0.4024,5625.0,,-155.0,1.0195716724876729,0.3415164420795505,,
40,DH Tau b,30.2643,2200.0,,4371.0,-0.21153,-1409.0,0.9064578929240549,0.2764328727351152,0.8233058144397315,1.4908713070014477
41,DS Tuc A b,5.93788408,843.35,,5421.0,-0.13966,-359.0,0.9959903180304004,0.32965726777512866,0.8531834877451103,1.4829915367823583
42,EPIC 201595106 b,1.3825,1956.0,0.0177,5695.09,-0.03778,-84.90999999999985,1.0280335412928456,0.3456550903683313,0.944292103038825,1.628502844563109
43,EPIC 205950854 c,1.31,960.6,,5502.7,,-277.3000000000002,1.0052355428549378,0.3343685121606643,,
