pl_name,discoverymethod,disc_facility,pl_rade,pl_eqt,pl_orbsmax,st_teff,st_lum
"1RXS J160929.1-210524 b","Imaging","Gemini Observatory",18.64700000,1800.00,330.0000000000,4060.00,
"2MASS J01225093-2439505 b","Imaging","W. M. Keck Observatory",11.20900000,1600.00,,3309.00,-1.83849
"2MASS J12073346-3932539 b","Imaging","Paranal Observatory",15.69257298,1163.00,,,
"55 Cnc e","Radial Velocity","McDonald Observatory",2.05155607,1894.63,0.0154400000,5242.00,
"AU Mic b","Transit","Transiting Exoplanet Survey Satellite (TESS)",4.21092400,625.61,0.0664666667,3626.50,-1.00784
"AU Mic c","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.85067355,445.90,0.1133000000,3639.33,-1.00784
"BD+20 594 b","Transit","K2",2.23000000,546.00,0.2410000000,5766.00,-0.05552
"BD+60 1417 b","Imaging","Wide-field Infrared Survey Explorer (WISE) Satellite Mission",14.68376472,1303.00,1662.0000000000,4993.00,0.35595
"BD-14 3065 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",21.15060000,1702.50,0.0656000000,6835.95,1.06000
"CFHTWIR-Oph 98 b","Imaging","Hubble Space Telescope",20.84870410,1800.00,200.0000000000,2320.00,-2.85000
"COCONUTS-2 b","Imaging","NASA Infrared Telescope Facility (IRTF)",12.44196858,434.00,7506.0000000000,3406.00,-1.73200
"CT Cha b","Imaging","Paranal Observatory",24.66000000,2600.00,440.0000000000,,
"CoRoT-1 b","Transit","CoRoT",17.64908475,1920.75,0.0256300000,5950.00,
"CoRoT-10 b","Transit","CoRoT",9.60099818,585.99,0.1057500000,5058.33,
"CoRoT-11 b","Transit","CoRoT",17.33502553,1697.20,0.0437033333,6407.67,
"CoRoT-12 b","Transit","CoRoT",16.02435416,1390.57,0.0395866667,5675.00,0.07000
"CoRoT-13 b","Transit","CoRoT",12.16224287,1455.06,0.0510000000,5945.00,
"CoRoT-14 b","Transit","CoRoT",11.81538100,1944.00,0.0269350000,6035.00,
"CoRoT-17 b","Transit","CoRoT",11.35873150,1618.00,0.0471000000,5740.00,
"CoRoT-18 b","Transit","CoRoT",14.14939844,1473.34,0.0289666667,5440.00,-0.17000
"CoRoT-19 b","Transit","CoRoT",13.76397758,1700.03,0.0515000000,6090.00,0.54400
"CoRoT-2 b","Transit","CoRoT",16.40365142,1503.39,0.0284450000,5612.00,
"CoRoT-20 b","Transit","CoRoT",12.25698641,1015.33,0.0895000000,5880.00,0.17000
"CoRoT-22 b","Transit","CoRoT",4.88000000,885.00,0.0920000000,5939.00,
"CoRoT-23 b","Transit","CoRoT",12.49831000,1685.00,0.0480450000,5900.00,
"CoRoT-24 b","Transit","CoRoT",3.70000000,1070.00,0.0560000000,4950.00,
"CoRoT-24 c","Transit","CoRoT",5.00000000,850.00,0.0980000000,4950.00,
"CoRoT-25 b","Transit","CoRoT",12.11000000,1330.00,0.0578000000,6040.00,
"CoRoT-26 b","Transit","CoRoT",14.12000000,1600.00,0.0526000000,5590.00,
"CoRoT-27 b","Transit","CoRoT",11.28700000,1500.00,0.0476000000,5900.00,
"CoRoT-3 b","Transit","CoRoT",11.62373300,1695.00,0.0578300000,6740.00,
"CoRoT-32 b","Transit","CoRoT",6.38913000,938.00,0.0710000000,5970.00,-0.15490
"CoRoT-35 b","Transit","CoRoT",18.83108758,1747.00,0.0429000000,6390.00,
"CoRoT-36 b","Transit","CoRoT",15.80466279,1567.00,0.0660000000,6730.00,
"CoRoT-4 b","Transit","CoRoT",13.25994531,1031.94,0.0906000000,6190.00,
"CoRoT-5 b","Transit","CoRoT",15.31705401,1383.39,0.0496700000,6100.00,0.18000
"CoRoT-6 b","Transit","CoRoT",13.17533250,1021.00,0.0855000000,6090.00,
"CoRoT-7 b","Transit","CoRoT",1.72284700,1833.00,0.0169580000,5254.50,
"CoRoT-8 b","Transit","CoRoT",7.45958950,896.00,0.0634500000,5080.00,-0.40000
"CoRoT-9 b","Transit","CoRoT",11.78626350,416.50,0.4024000000,5625.00,
"DH Tau b","Imaging","Subaru Telescope",30.26430000,2200.00,,4371.00,-0.21153
"DS Tuc A b","Transit","Transiting Exoplanet Survey Satellite (TESS)",5.93788408,843.35,,5421.00,-0.13966
"EPIC 201595106 b","Transit","K2",1.38250000,1956.00,0.0177000000,5695.09,-0.03778
"EPIC 205950854 c","Transit","K2",1.31000000,960.60,,5502.70,
"EPIC 211822797 b","Transit","K2",1.92000000,431.00,0.1195000000,4057.00,
"EPIC 211945201 b","Transit","K2",5.72172250,793.59,0.1486500000,6060.25,
"EPIC 212297394 b","Transit","K2",1.48000000,1149.00,,5171.00,
"EPIC 212297394 c","Transit","K2",2.27000000,866.00,,5171.00,
"EPIC 212587672 b","Transit","K2",1.26000000,756.00,,6004.00,
"EPIC 212587672 c","Transit","K2",2.32000000,658.00,,6004.00,
"EPIC 212737443 b","Transit","K2",2.58600000,536.00,0.0980000000,4684.00,
"EPIC 212737443 c","Transit","K2",2.69000000,316.00,0.2800000000,4684.00,
"EPIC 220674823 b","Transit","K2",1.71957143,2221.86,0.0129533333,5538.14,
"EPIC 220674823 c","Transit","K2",2.77114286,774.86,0.1074333333,5538.14,
"EPIC 228836835 b","Transit","K2",1.27000000,932.00,,3506.00,-1.61153
"EPIC 229004835 b","Transit","K2",2.17733333,759.00,0.1237000000,5864.33,0.02989
"EPIC 246851721 b","Transit","K2",12.74220276,1403.51,0.0722900000,6357.50,0.52634
"EPIC 248847494 b","Transit","K2",12.44199000,183.00,4.5000000000,4898.00,
"EPIC 249893012 b","Transit","K2",1.95000000,1616.00,0.0470000000,5430.00,
"EPIC 249893012 c","Transit","K2",3.67000000,990.00,0.1300000000,5430.00,
"EPIC 249893012 d","Transit","K2",3.94000000,752.00,0.2200000000,5430.00,
"G 9-40 b","Transit","K2",1.99527000,429.87,0.0401500000,3385.33,-1.96561
"GJ 1132 b","Transit","Cerro Tololo Inter-American Observatory",1.22521621,542.30,0.0154433333,3242.75,-2.34618
"GJ 1214 b","Transit","MEarth Project",2.72325000,566.25,0.0149750000,3081.50,-2.44575
"GJ 1252 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.27075603,1054.16,0.0091600000,3391.50,-1.70774
"GJ 143 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.65231287,437.92,0.1915000000,4634.27,-0.68620
"GJ 238 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",0.57118910,827.00,0.0212300000,3465.00,-1.61618
"GJ 3090 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",2.13868253,688.73,0.0316250000,3655.33,-1.34199
"GJ 341 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",0.86788700,629.00,,3766.00,
"GJ 3470 b","Radial Velocity","La Silla Observatory",4.13210156,604.54,0.0337666667,3611.20,-1.53780
"GJ 3473 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.23736694,738.82,0.0158900000,3339.50,-1.82391
"GJ 357 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.22898333,534.67,0.0355000000,3505.00,-1.79833
"GJ 367 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.35925333,1468.67,0.0070950000,3520.67,-1.53985
"GJ 3929 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.11242891,556.68,0.0254450000,3368.33,-1.95000
"GJ 414 A b","Radial Velocity","W. M. Keck Observatory",2.63000000,308.60,0.2324000000,4120.00,-0.92445
"GJ 414 A c","Radial Velocity","W. M. Keck Observatory",8.40000000,124.70,1.4000000000,4120.00,-0.92445
"GJ 436 b","Radial Velocity","W. M. Keck Observatory",4.11536883,649.61,0.0294200000,3414.00,-1.58500
"GJ 486 b","Radial Velocity","Calar Alto Observatory",1.31528485,685.67,0.0172033333,3311.25,-1.92421
"GJ 504 b","Imaging","Subaru Telescope",12.10569916,512.00,,,
"GJ 806 b","Transit","Transiting Exoplanet Survey Satellite (TESS)",1.50461500,1051.00,0.0140600000,3586.50,-1.58528
"GJ 9827 b","Transit","K2",1.59749286,1111.07,0.0194360000,4253.86,
"GJ 9827 c","Transit","K2",1.24016667,760.47,0.0406140000,4263.00,
"GJ 9827 d","Transit","K2",2.00814286,642.65,0.0570750000,4259.14,-1.00436
"GPX-1 b","Transit","Acton Sky Portal Observatory",15.93351056,2341.88,0.0338000000,7519.50,0.72673
"GQ Lup b","Imaging","Paranal Observatory",42.58070000,2525.00,100.0000000000,4360.00,
"GSC 06214-00210 b","Imaging","Palomar Observatory",20.17620000,2200.00,,4432.00,-0.54576
"GU Psc b","Imaging","Gemini Observatory",14.17900000,1050.00,2000.0000000000,,
"Gaia-1 b","Transit","European Space Agency (ESA) Gaia Satellite",12.65581119,1159.07,,5370.00,
"Gaia-2 b","Transit","European Space Agency (ESA) Gaia Satellite",14.72447081,1213.23,,5720.00,
